symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore,shap_ret_1d,shap_ret_3d,shap_ret_5d,shap_vol_20d,shap_vol_zscore,prediction,base_value
BATS.L,2025-11-09 19:00:00-05:00,0.008232436072453275,0.0053114934469375985,0.03892222135306822,0.011325012693035215,0.05742435224190609,3.537691773780464e-05,3.0364494214263547e-06,0.00042524941844746883,-2.5459577974501024e-05,0.00013398261241732854,0.001421522703319107,0.00084933688326958
AAPL,2025-11-10 00:00:00-05:00,0.004548679242277531,-0.001661469744300148,0.0023831441880575177,0.012080343483894935,-0.5227146787477338,3.549761044081732e-05,-3.34847345617798e-05,2.3789400602403696e-06,-1.9671622388709884e-05,2.628165214847864e-05,0.0008603387289686266,0.00084933688326958
BLK,2025-11-10 00:00:00-05:00,0.0003973957768368397,0.008439131932562294,0.012911314161348164,0.014370837508865995,-1.1933535621009141,3.55676336476841e-05,2.831509243052065e-06,2.7988184807983855e-05,-3.477196198567389e-05,-2.0613520013999472e-05,0.0008603387289686266,0.00084933688326958
SHEL,2025-11-10 00:00:00-05:00,0.012832408084047175,0.026135809710568392,0.029170608363275008,0.010632681239012256,0.06948024116722873,2.1022756169852255e-05,1.6072223013271517e-05,-3.9686930742654456e-05,-4.5440619523187015e-05,5.90344167817643e-05,0.0008603387289686266,0.00084933688326958
JPM,2025-11-10 00:00:00-05:00,0.00852933798994493,0.016715896541725783,0.024373661094122978,0.01182706766161773,-0.8959287534527425,3.72852302538566e-05,2.831509243052065e-06,7.675285750544471e-06,-3.43390279489438e-05,-2.451151599462722e-06,0.0008603387289686266,0.00084933688326958
BP,2025-11-10 00:00:00-05:00,0.014762062047160462,0.040358718632227175,0.06452535997557218,0.014413620576833274,-0.023323836134665345,-6.122740771314919e-05,1.7002091498151538e-05,-0.00019484293654549288,-8.016863279130155e-06,2.2854785709505584e-05,0.0006251065529394648,0.00084933688326958
AZN,2025-11-10 00:00:00-05:00,0.0342870827985029,0.07800371795478078,0.07048460658577693,0.013218701046665015,1.3733861093342272,9.346439907013166e-05,3.257544577791765e-05,-0.00047300010773409205,-2.384555687012007e-05,-0.00017699363272301343,0.0003015374307904036,0.00084933688326958
NVDA,2025-11-10 00:00:00-05:00,0.05793253025650147,0.019671104424591412,-0.03784800447108583,0.027379921961169257,0.18798249929861807,-0.000843656708477895,1.1802604024780026e-05,4.8960785757086396e-05,0.00023417320159416913,7.772988238866852e-05,0.00037834664855638844,0.00084933688326958
HSBC,2025-11-10 00:00:00-05:00,0.010804045302783782,0.022894932576701166,0.029572876332103704,0.01144055986747695,-0.17294259920264393,3.2415814371757035e-05,1.6072223013271517e-05,-5.615896543952344e-05,-1.465638388055608e-05,3.3329157634097574e-05,0.0008603387289686266,0.00084933688326958
MSFT,2025-11-10 00:00:00-05:00,0.018477499302281375,-0.002287254440417552,-0.021333452392286678,0.01210946651366042,0.47265245221961566,0.00012634469868384317,-6.902753843318126e-05,2.2486745221235057e-07,5.331596464878899e-07,-1.4368309406179345e-05,0.0008930437612127618,0.00084933688326958
